trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
420,True,"{'a': 0, 'e': 0}",25,10,28.906914864550647,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,True,"{'a': 0, 'e': 0}",25,5,21.378977267884085,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
422,True,"{'a': 0, 'e': 0}",25,12,21.421287905367617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,True,"{'a': 0, 'e': 0}",20,16,8.004848464996755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,True,"{'a': 0, 'e': 0}",25,6,26.331020806134134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,True,"{'a': 0, 'e': 0}",25,14,-23.016884662134522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
426,True,"{'a': 0, 'e': 0}",20,4,-33.64942582244264,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
427,True,"{'a': 0, 'e': 0}",20,8,8.284174809233374,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
428,True,"{'a': 0, 'e': 0}",20,8,5.435179285057568,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
429,True,"{'a': 0, 'e': 0}",25,8,-56.92372684256232,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
430,True,"{'a': 0, 'e': 0}",25,12,14.531259847596354,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
431,True,"{'a': 0, 'e': 0}",30,15,28.206396443751853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,True,"{'a': 0, 'e': 0}",20,3,-16.685620894005023,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
433,True,"{'a': 0, 'e': 0}",20,7,26.09100216916145,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,True,"{'a': 0, 'e': 0}",20,7,24.007660029798323,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,True,"{'a': 0, 'e': 0}",25,17,17.081439795589386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,True,"{'a': 0, 'e': 0}",25,3,32.19885310082977,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,True,"{'a': 0, 'e': 0}",20,7,12.827863063519889,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
438,True,"{'a': 0, 'e': 0}",30,16,4.137644698485157,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
439,True,"{'a': 0, 'e': 0}",20,3,30.269939065238013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,True,"{'a': 0, 'e': 0}",25,12,23.697774871942357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,True,"{'a': 0, 'e': 0}",25,13,22.040254928488032,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,True,"{'a': 0, 'e': 0}",25,11,25.164420177703505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,True,"{'a': 0, 'e': 0}",20,0,16.031238361441066,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
444,True,"{'a': 0, 'e': 0}",20,7,24.951438121184417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,True,"{'a': 0, 'e': 0}",25,3,-42.74914354095746,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
446,True,"{'a': 0, 'e': 0}",25,6,-53.44038911665327,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
447,True,"{'a': 0, 'e': 0}",20,8,24.371633158005857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,True,"{'a': 0, 'e': 0}",25,17,15.125856911280117,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,True,"{'a': 0, 'e': 0}",20,3,17.174464446447576,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,True,"{'a': 0, 'e': 0}",25,15,16.731760306036705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,True,"{'a': 0, 'e': 0}",25,8,34.017314019342486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,True,"{'a': 0, 'e': 0}",20,0,35.44623591009689,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
453,True,"{'a': 0, 'e': 0}",30,10,25.313514163968453,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
454,True,"{'a': 0, 'e': 0}",20,9,18.23321083785167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,True,"{'a': 0, 'e': 0}",20,4,-16.747729833814713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
456,True,"{'a': 0, 'e': 0}",20,0,23.743136903281517,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
457,True,"{'a': 0, 'e': 0}",20,11,18.217682277775868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,True,"{'a': 0, 'e': 0}",20,0,-26.424702999430796,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
459,True,"{'a': 0, 'e': 0}",20,13,11.955659395704938,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,True,"{'a': 0, 'e': 0}",25,16,15.426548061388775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,True,"{'a': 0, 'e': 0}",20,5,-14.834528088388149,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
462,True,"{'a': 0, 'e': 0}",30,16,24.138697491651754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,True,"{'a': 0, 'e': 0}",20,6,11.758986613745718,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
464,True,"{'a': 0, 'e': 0}",30,7,36.02458044657047,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,True,"{'a': 0, 'e': 0}",20,0,22.13573550168783,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
466,True,"{'a': 0, 'e': 0}",25,3,37.5851298505827,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,True,"{'a': 0, 'e': 0}",25,15,19.7127247646938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,True,"{'a': 0, 'e': 0}",25,17,15.565402009652248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,True,"{'a': 0, 'e': 0}",25,8,22.28339712549522,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
470,True,"{'a': 0, 'e': 0}",20,7,21.044115097263393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,True,"{'a': 0, 'e': 0}",20,8,-4.844098962693955,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
472,True,"{'a': 0, 'e': 0}",25,7,31.81728991210875,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,True,"{'a': 0, 'e': 0}",20,12,11.285991866043988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,True,"{'a': 0, 'e': 0}",20,2,31.731374272596096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,True,"{'a': 0, 'e': 0}",25,0,-3.2897775582117568,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
476,True,"{'a': 0, 'e': 0}",25,7,32.33930061750481,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,True,"{'a': 0, 'e': 0}",20,12,12.1518430166736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,True,"{'a': 0, 'e': 0}",20,3,30.124986652623722,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,True,"{'a': 0, 'e': 0}",30,11,33.023702310266636,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,True,"{'a': 0, 'e': 0}",20,2,25.549450420329183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,True,"{'a': 0, 'e': 0}",25,7,17.603340353931777,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
482,True,"{'a': 0, 'e': 0}",30,15,21.423514962311998,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,True,"{'a': 0, 'e': 0}",30,0,42.45700995403213,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,True,"{'a': 0, 'e': 0}",25,16,-26.823168011830564,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
485,True,"{'a': 0, 'e': 0}",20,0,14.527223986107748,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
