trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
248,False,"{'a': 0.01, 'e': 0.08374322559219596}",25,11,12.144789019714775,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08290996657517266}",20,12,2.550559915396306,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,19,20.623437046697944,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,7,-53.4719063421976,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
252,False,"{'a': 0.01, 'e': 0.08045960674953244}",25,3,-5.861981673859537,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
253,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,1,26.31880927688742,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07886639979067495}",20,3,-4.055757825673286,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,0,15.820701040804693,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
256,False,"{'a': 0.01, 'e': 0.07730474044329974}",20,5,23.75013207502955,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07653554542391151}",20,0,22.665114101291667,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
258,False,"{'a': 0.01, 'e': 0.07577400402284548}",20,12,13.324064444726547,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07502004008532698}",25,8,28.712356590943816,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,12,22.907188143465287,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.0735345437630571}",35,22,26.006959750594465,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.07280286282743559}",25,14,16.16906722765348,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
